,city,date,cloudiness,humidity,lat,lng,maxtemp,windspeed
138,Port Keats,1589177028,0,31,-14.25,129.55,90.32,10.96
139,Zhezkazgan,1589177028,20,49,47.8,67.71,73.4,4.47
140,Boisar,1589177028,0,49,19.8,72.75,90.79,10.94
141,Manzhouli,1589177029,82,42,49.6,117.43,53.26,27.27
142,Yaremche,1589177029,40,76,48.46,24.55,57.2,7.72
143,Boyolangu,1589177029,100,81,-8.12,111.89,80.96,5.26
144,Saint-Philippe,1589177029,75,47,-21.36,55.77,77.0,11.41
145,Le Port,1589177030,84,57,-20.94,55.29,75.2,13.87
146,Vinukonda,1589177030,0,29,16.05,79.75,101.19,7.81
147,Letlhakane,1589177031,12,67,-21.42,25.58,56.35,9.51
148,Cherskiy,1589177031,99,60,68.75,161.3,43.72,21.56
149,Zapolyarnyy,1589177031,75,97,69.42,30.81,33.8,10.29
150,Lagoa,1589177091,60,74,39.05,-27.98,57.34,22.46
151,Nemuro,1589177092,75,71,43.32,145.57,57.2,12.75
152,Potot,1589177092,91,55,12.2,123.43,90.66,5.37
153,Iqaluit,1589177092,90,85,63.75,-68.51,24.8,26.4
154,Aklavik,1589177093,20,56,68.22,-135.01,42.8,6.93
155,Hambantota,1589177093,83,63,6.12,81.12,88.14,5.55
156,Ozernovskiy,1589177093,100,79,51.5,156.52,37.58,11.07
157,Tuatapere,1589177093,100,92,-46.13,167.68,51.44,2.39
158,Raudeberg,1589177094,93,88,61.99,5.14,36.0,11.56
159,Lompoc,1589176816,90,87,34.64,-120.46,53.6,4.7
160,New Iberia,1589177094,1,72,30.0,-91.82,62.6,3.36
161,Pacific Grove,1589176800,1,76,36.62,-121.92,53.6,3.36
162,Kieta,1589177095,71,75,-6.22,155.63,84.29,5.39
163,Mahanoro,1589177095,100,89,-19.9,48.8,71.19,3.51
164,Palmital,1589176879,0,85,-22.79,-50.22,57.38,6.6
165,Fairbanks,1589176950,1,19,64.84,-147.72,75.2,10.29
166,Bluff,1589177096,100,86,-46.6,168.33,52.86,11.12
167,Zaranj,1589177096,23,22,30.97,61.88,91.4,13.87
168,Mehamn,1589177097,100,97,71.04,27.85,32.49,29.42
169,Bahía de Caráquez,1589177097,20,88,-0.6,-80.42,77.0,8.05
170,Katsuura,1589177097,75,73,35.13,140.3,81.0,11.41
171,Halle,1589177097,90,70,51.5,12.0,46.4,19.46
172,Pringsewu,1589177098,58,65,-5.36,104.97,88.92,2.93
173,Sambava,1589177098,74,67,-14.27,50.17,79.61,14.23
174,Hasaki,1589177098,20,64,35.73,140.83,86.0,14.99
175,Chokurdakh,1589177099,100,98,70.63,147.92,33.22,10.96
176,Oddur,1589177099,80,83,4.12,43.89,76.24,15.48
177,Hienghène,1589177099,81,74,-20.68,164.93,72.48,1.41
178,Monrovia,1589177099,95,88,6.3,-10.8,78.55,7.11
179,Buta,1589177099,95,98,2.79,24.73,73.18,0.27
180,Saskylakh,1589177100,74,96,71.92,114.08,24.31,13.4
181,Nikolskoye,1589177100,89,37,59.7,30.79,57.0,6.71
182,San Patricio,1589177100,12,80,19.22,-104.7,71.8,2.35
183,Asău,1589177100,78,52,46.43,26.4,66.99,3.33
184,Darnah,1589177101,9,30,32.77,22.64,75.78,21.54
185,Qusar,1589177101,60,65,41.43,48.43,54.81,7.14
186,Zaliznychne,1589177101,41,59,45.75,28.61,67.05,11.72
187,Salinópolis,1589177101,51,87,-0.61,-47.36,78.69,7.56
188,Quixeramobim,1589176915,100,82,-5.2,-39.29,71.98,1.92
189,Adrar,1589177102,1,18,20.5,-10.07,78.85,9.62
190,Kaitangata,1589177102,94,83,-46.28,169.85,52.0,3.0
191,Norman Wells,1589177103,40,40,65.28,-126.83,53.6,4.7
192,Mauá,1589177103,0,67,-23.67,-46.46,66.0,2.24
193,Buraidah,1589177020,40,39,26.33,43.98,80.6,10.29
194,Shihezi,1589177103,84,13,44.3,86.03,82.47,5.79
195,Porto Belo,1589177104,31,74,-27.16,-48.55,66.0,5.35
196,Sechura,1589177104,55,75,-5.56,-80.82,71.92,9.15
197,Matagami,1589177105,90,92,49.75,-77.63,15.8,19.46
198,Sobolevo,1589177105,0,69,54.43,31.9,57.2,7.2
199,Dingle,1589177105,100,50,11.0,122.67,92.95,8.99
200,Caravelas,1589177166,22,79,-17.71,-39.25,69.57,3.29
201,Vostok,1589177166,100,71,46.49,135.88,51.94,1.63
202,Teknāf,1589177166,0,52,20.86,92.31,91.38,9.71
203,Lodja,1589177166,100,92,-3.48,23.43,73.63,0.58
204,Maraã,1589177167,98,99,-1.83,-65.37,72.43,1.77
205,Saldanha,1589177167,0,87,-33.01,17.94,57.2,5.82
206,Saint-Augustin,1589177167,73,89,51.23,-58.65,34.14,17.22
207,Tabou,1589177167,99,86,4.42,-7.35,79.39,8.79
208,Belyy Yar,1589177167,35,31,53.6,91.39,73.4,2.24
209,Binzhou,1589177168,73,53,37.37,118.02,66.99,1.99
210,Vardø,1589177168,75,97,70.37,31.11,33.8,11.41
211,Casper,1589177168,75,64,42.87,-106.31,39.0,13.87
212,Cabedelo,1589177169,36,100,-6.98,-34.83,73.4,3.36
213,Almaznyy,1589177169,78,59,48.04,40.05,62.6,15.66
214,Laguna,1589177169,1,71,38.42,-121.42,57.99,5.82
215,Berbera,1589177166,35,62,10.44,45.01,89.06,5.12
216,Torbay,1589177170,90,80,47.67,-52.73,36.0,13.87
217,Bethel,1589177170,1,43,41.37,-73.41,51.8,8.05
218,Tuktoyaktuk,1589177170,40,92,69.45,-133.04,30.2,11.41
